title	source
The draft genome, transcriptome, and microbiome of Dermatophagoides farinae reveal a broad spectrum of dust mite allergens	http://www.sciencedirect.com/science/article/pii/S0091674914013669
Stool Microbiome and Metabolome Differences between Colorectal Cancer Patients and Healthy Adults	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0070803
Integrating ‘-omics’ and natural product discovery platforms to investigate metabolic exchange in microbiomes	http://www.sciencedirect.com/science/article/pii/S1367593110001602
A metagenomic study of diet-dependent interaction between gut microbiota and host in infants reveals differences in immune response	http://download.springer.com/static/pdf/652/art%253A10.1186%252Fgb-2012-13-4-r32.pdf?originUrl=http%3A%2F%2Fgenomebiology.biomedcentral.com%2Farticle%2F10.1186%2Fgb-2012-13-4-r32&token2=exp=1457144606~acl=%2Fstatic%2Fpdf%2F652%2Fart%25253A10.1186%25252Fgb-2012-13-4-r32.pdf*~hmac=b368cdd3882adb2121a3d520a1cbf0c20898129601d7ab66bcf14ec0a86ba7e0
Community-wide transcriptome of the oral microbiome in subjects with and without periodontitis	http://www.nature.com/ismej/journal/v8/n8/full/ismej201423a.html
The human microbiome: eliminating the biomedical/environmental dichotomy in microbial ecology	http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1462-2920.2006.01222_3.x/full
Multi-omics analysis of inflammatory bowel disease	http://www.sciencedirect.com/science/article/pii/S0165247814001540
Visualizing multi-omics data in metabolic networks with the software Omix—A case study	http://www.sciencedirect.com/science/article/pii/S0303264711000761
Multi-omics of permafrost, active layer and thermokarst bog soil microbiomes	http://www.nature.com/nature/journal/v521/n7551/abs/nature14238.html
Gut microbiota disturbance during antibiotic therapy: a multi-omic approach	http://gut.bmj.com/content/62/11/1591.short
Sequencing and beyond: integrating molecular 'omics' for microbial community profiling	http://www.nature.com/nrmicro/journal/v13/n6/abs/nrmicro3451.html
Biogeochemical Typing of Paddy Field by a Data-Driven Approach Revealing Sub-Systems within a Complex Environment - A Pipeline to Filtrate, Organize and Frame Massive Dataset from Multi-Omics Analyses	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110723